,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
22749,1110038F14RIK,PIC_1h,96,34.01088205,11486.3078,107.1741937,3.151173604,337.7244903,0.100705999,9.92989508,
22765,1110038F14RIK,gpa_t4,46,35.29032692,8465.463398,92.00795291,2.607172019,239.8805604,0.147116243,6.797345939,
22746,1110038F14RIK,PAM_2h,96,35.43787721,8289.700286,91.04779122,2.569222493,233.9220331,0.151494396,6.600904216,
22743,1110038F14RIK,LPS_4h,95,45.13874478,10535.36693,102.6419355,2.273920908,233.3996433,0.193396803,5.170716297,
22755,1110038F14RIK,tr1_t4,81,49.00440371,9507.779552,97.50784354,1.989777166,194.0188806,0.252575438,3.959213171,
22745,1110038F14RIK,PAM_1h,96,50.47439493,13045.75116,114.2179984,2.262889898,258.4627547,0.195286919,5.12067069,
22744,1110038F14RIK,LPS_6h,96,53.15657993,13265.61133,115.1764356,2.166739015,249.5572767,0.213003526,4.694757959,
22751,1110038F14RIK,PIC_4h,90,54.44555754,17272.75318,131.4258467,2.413894772,317.2481642,0.171618196,5.826887969,
22761,1110038F14RIK,Tnfr_KO_LPS_4h,96,54.68378533,23693.75787,153.9277683,2.814870394,433.2867179,0.126206927,7.923495335,
22762,1110038F14RIK,gpc_t4,56,65.54958808,16810.67317,129.6559801,1.97798314,256.4573426,0.255596457,3.912417303,
22767,1110038F14RIK,wps_t4,49,72.33097391,19678.91256,140.2815475,1.939439494,272.0675735,0.265856651,3.761425552,
22756,1110038F14RIK,tr2_t4,56,76.19136425,25492.45969,159.6635829,2.0955601,334.5846336,0.227719257,4.391372132,
22148,1190002H23RIK,PAM_6h,64,0.185896828,1.988875031,1.410274807,7.586330661,10.69881101,0.017375466,57.5524129,
22152,1190002H23RIK,PIC_6h,96,3.427774282,415.7022917,20.38877857,5.948110026,121.2746982,0.028264546,35.38001288,
22145,1190002H23RIK,PAM_1h,96,6.746343062,1077.14784,32.81993053,4.864847551,159.6639587,0.042253387,23.6667417,
22169,1190002H23RIK,LPS_4h_Replicate,96,9.94582711,8632.427758,92.9108592,9.341692568,867.944683,0.011459056,87.26722004,
22160,1190002H23RIK,Stat1_KO_LPS_4h,94,11.03787721,6113.253868,78.18729992,7.083544998,553.8432573,0.019929605,50.17660974,
22140,1190002H23RIK,Unstimulated,96,13.24741106,8914.240392,94.41525508,7.127072197,672.9043394,0.019686916,50.7951581,
22146,1190002H23RIK,PAM_2h,96,13.32069669,12511.53594,111.8549773,8.397081614,939.2553731,0.014182188,70.51097964,
22150,1190002H23RIK,PIC_2h,84,16.2960227,7435.532704,86.22953499,5.291446667,456.2789855,0.035715041,27.99940783,
22143,1190002H23RIK,LPS_4h,95,19.88765219,6846.837352,82.74561832,4.160652929,344.2757992,0.057766628,17.31103279,
22147,1190002H23RIK,PAM_4h,85,21.26801727,19868.37808,140.9552343,6.627568171,934.1904244,0.022766255,43.92465986,
22144,1190002H23RIK,LPS_6h,96,24.31431274,5054.675659,71.09624223,2.924049015,207.8888971,0.116958207,8.550062644,
22155,1190002H23RIK,tr1_t4,81,25.78197444,7143.603662,84.51984182,3.278253263,277.0774472,0.093049704,10.74694445,
22142,1190002H23RIK,LPS_2h,96,28.21066443,3660.640791,60.50322959,2.144693534,129.7608853,0.217404993,4.599710356,
22156,1190002H23RIK,tr2_t4,56,29.25451113,8678.29052,93.15734281,3.184375305,296.6479419,0.098616936,10.14024608,
22159,1190002H23RIK,IFNB_2h,94,29.89268549,6619.468394,81.3601155,2.721739923,221.4410745,0.134991602,7.407868209,
22151,1190002H23RIK,PIC_4h,90,31.831588,40050.29231,200.1256913,6.287015629,1258.193349,0.025299441,39.52656552,
22141,1190002H23RIK,LPS_1h,96,32.16070994,5400.202104,73.48606742,2.284964093,167.9130254,0.191531954,5.221060907,
22149,1190002H23RIK,PIC_1h,96,34.70803726,11470.01002,107.0981327,3.085686808,330.4712951,0.105025876,9.521463075,
22158,1190002H23RIK,Ifnar1_KO_LPS_4h,96,42.92557825,32355.65076,179.8767655,4.190433136,753.7615586,0.056948484,17.55972987,
22164,1190002H23RIK,ifnr_t275,61,69.19220346,19099.17948,138.1997811,1.997331695,276.030803,0.250668413,3.989333902,
22162,1190002H23RIK,gpc_t4,56,100.5005906,104963.9398,323.9813881,3.223676459,1044.411174,0.096227035,10.39208992,
22167,1190002H23RIK,wps_t4,49,112.4396843,79056.66829,281.1701767,2.500631146,703.1029013,0.159919244,6.253156129,
22161,1190002H23RIK,Tnfr_KO_LPS_4h,96,150.9323396,103090.0174,321.076342,2.12728659,683.0213966,0.220977469,4.525348235,
22154,1190002H23RIK,tr4_t2,72,186.5176509,208637.6016,456.7686521,2.448929899,1118.594409,0.166742878,5.997257652,
19929,1200009I06RIK,PIC_1h,96,1.136623686,29.4270715,5.424672479,4.772619598,25.88989818,0.043902208,22.77789783,
19937,1200009I06RIK,On_Chip_Stimulation_LPS_4h,90,1.255918041,31.80540818,5.639628372,4.490442996,25.32442972,0.049593142,20.1640783,
19943,1200009I06RIK,hero_t0,38,1.306364648,28.11021897,5.301907107,4.058520043,21.51789626,0.060710612,16.47158494,
19948,1200009I06RIK,Unstimulated_Replicate,96,1.798883018,83.72216242,9.149981553,5.086479477,46.54119339,0.038651416,25.87227347,
19921,1200009I06RIK,LPS_1h,96,1.934382866,51.76213497,7.194590674,3.719320927,26.75899166,0.072289079,13.83334816,
19939,1200009I06RIK,IFNB_2h,94,3.345221729,394.1128311,19.85227521,5.934516998,117.8136647,0.028394174,35.218492,
19925,1200009I06RIK,PAM_1h,96,4.350278831,264.5216593,16.26412184,3.738638941,60.80567927,0.071543956,13.97742113,
19920,1200009I06RIK,Unstimulated,96,4.836797162,371.3289842,19.2698984,3.984020365,76.77166765,0.063002372,15.87241827,
19930,1200009I06RIK,PIC_2h,84,5.754276816,311.0047227,17.63532599,3.064733685,54.0475776,0.106466877,9.392592558,
19928,1200009I06RIK,PAM_6h,64,6.045746325,198.921422,14.10395058,2.332871712,32.90270734,0.183746166,5.442290426,
19932,1200009I06RIK,PIC_6h,96,8.402455125,1930.991445,43.94304775,5.229786663,229.812765,0.036562178,27.35066854,
19922,1200009I06RIK,LPS_2h,96,9.411684858,301.6850697,17.36908373,1.845480803,32.0543106,0.293616824,3.405799395,
19944,1200009I06RIK,ifnr_t275,61,9.750901065,373.5677298,19.32790029,1.982165562,38.31109836,0.254518964,3.928980317,
19933,1200009I06RIK,tr3_t2,52,9.996202231,550.4161909,23.46095034,2.346986365,55.06253056,0.181542732,5.508344998,
19931,1200009I06RIK,PIC_4h,90,11.0148032,1498.922549,38.71592114,3.514899035,136.0825538,0.080942067,12.35451523,
19924,1200009I06RIK,LPS_6h,96,11.36196277,765.9859276,27.67645078,2.435886417,67.41669052,0.168533381,5.933542637,
19923,1200009I06RIK,LPS_4h,95,11.38633215,550.3827069,23.46023672,2.060385768,48.33713784,0.235560744,4.245189512,
19934,1200009I06RIK,tr4_t2,72,15.00272432,1730.700711,41.60169121,2.772942455,115.3590958,0.130052374,7.689209861,
19935,1200009I06RIK,tr1_t4,81,15.01946011,1069.287008,32.69995425,2.177172416,71.19343841,0.210966915,4.740079731,
19927,1200009I06RIK,PAM_4h,85,20.86511556,1269.859878,35.63509335,1.707879031,60.86042872,0.342835501,2.916850786,
19949,1200009I06RIK,LPS_4h_Replicate,96,21.08527297,924.0089573,30.39751564,1.441646769,43.82248021,0.481151976,2.078345406,
19926,1200009I06RIK,PAM_2h,96,21.80418072,1573.886059,39.67223285,1.819478262,72.18276529,0.302069069,3.310501147,
19942,1200009I06RIK,gpc_t4,56,23.44404723,1239.447822,35.20579244,1.501694315,52.86833836,0.443442105,2.255085815,
19936,1200009I06RIK,tr2_t4,56,24.80403128,2085.072399,45.662593,1.840934342,84.0618356,0.295068875,3.389039251,
19947,1200009I06RIK,wps_t4,49,32.33312768,2649.084683,51.46925959,1.591842896,81.93097523,0.394638628,2.533963805,
19945,1200009I06RIK,gpa_t4,46,33.87159105,4704.785681,68.59144029,2.025043352,138.9006402,0.243854823,4.100800578,
12258,1600014C10RIK,Ifnar1_KO_LPS_4h,96,0.102123309,1.001200347,1.000599994,9.797958971,9.803837684,0.010416667,96,
12257,1600014C10RIK,On_Chip_Stimulation_LPS_4h,90,0.6126765,9.177022489,3.029360079,4.944469196,14.9785776,0.040903517,24.44777563,
12262,1600014C10RIK,gpc_t4,56,1.247130901,35.80090029,5.983385354,4.797720391,28.70660992,0.043444033,23.01812095,
12265,1600014C10RIK,gpa_t4,46,2.76905337,177.0164802,13.30475404,4.804802316,63.92671304,0.043316061,23.08612529,
12266,1600014C10RIK,gpb_t4,53,3.260386824,162.3947093,12.74341827,3.908560229,49.80841784,0.06545855,15.27684306,
12264,1600014C10RIK,ifnr_t275,61,3.80188578,210.6667476,14.51436349,3.817674789,55.41111959,0.068612326,14.5746408,
12253,1600014C10RIK,tr3_t2,52,5.923873551,561.6982761,23.7001746,4.000790091,94.8194237,0.062475317,16.00632135,
12242,1600014C10RIK,LPS_2h,96,6.272193537,471.5171674,21.71444605,3.462017861,75.17580008,0.083433679,11.98556767,
12263,1600014C10RIK,hero_t0,38,7.086964456,819.6597441,28.62970039,4.039769151,115.6573804,0.061275506,16.3197348,
12246,1600014C10RIK,PAM_2h,96,8.699155647,811.1917422,28.48142802,3.274045112,93.2494802,0.093289052,10.7193714,
12247,1600014C10RIK,PAM_4h,85,9.252716022,830.5083821,28.81854233,3.114603567,89.75833476,0.103084756,9.700755382,
12241,1600014C10RIK,LPS_1h,96,10.28475459,739.4461652,27.19275943,2.643987193,71.89730765,0.14304784,6.990668274,
12254,1600014C10RIK,tr4_t2,72,12.64864264,1985.942663,44.5639166,3.523217304,157.0083621,0.080560312,12.41306017,
12249,1600014C10RIK,PIC_1h,96,17.16429927,3525.494678,59.37587623,3.459265962,205.3969476,0.083566477,11.96652099,
12259,1600014C10RIK,IFNB_2h,94,19.53737089,4085.004181,63.91403743,3.271373502,209.0866884,0.093441486,10.70188459,
12245,1600014C10RIK,PAM_1h,96,19.72277651,1494.296782,38.65613511,1.959974302,75.76503143,0.260315031,3.841499264,
12248,1600014C10RIK,PAM_6h,64,19.91686572,4914.560359,70.10392542,3.519827185,246.7537025,0.08071557,12.38918341,
12250,1600014C10RIK,PIC_2h,84,21.07406858,3673.988258,60.61343298,2.876209345,174.3369224,0.12088127,8.272580199,
12240,1600014C10RIK,Unstimulated,96,24.58959377,2553.261001,50.5298031,2.054926306,103.8350216,0.236814067,4.222722125,
12243,1600014C10RIK,LPS_4h,95,25.69053494,2550.96369,50.50706575,1.965979528,99.29585727,0.258727158,3.865075504,
12268,1600014C10RIK,Unstimulated_Replicate,96,32.75055552,8602.083397,92.7474172,2.831934168,262.6545798,0.124690594,8.019851134,
12261,1600014C10RIK,Tnfr_KO_LPS_4h,96,36.73967726,8920.805491,94.45001583,2.57079057,242.81121,0.151309642,6.608964154,
12256,1600014C10RIK,tr2_t4,56,36.75274376,8709.505084,93.32472922,2.539258833,236.975643,0.155090807,6.44783542,
12251,1600014C10RIK,PIC_4h,90,40.75086697,7670.223818,87.57981399,2.149152165,188.2223469,0.216503872,4.618855029,
12255,1600014C10RIK,tr1_t4,81,54.33741828,14987.87054,122.4249588,2.25305071,275.8296404,0.196996299,5.076237501,
12244,1600014C10RIK,LPS_6h,96,59.86692399,18737.00981,136.8831977,2.286457839,312.9776604,0.19128178,5.227889451,
13775,1810029B16RIK,PAM_1h,96,38.37154043,7795.197509,88.29041573,2.300934879,203.150497,0.188882336,5.294301317,
13779,1810029B16RIK,PIC_1h,96,47.20740811,20936.23714,144.6935975,3.065061253,443.4947391,0.106444122,9.394600483,
13795,1810029B16RIK,gpa_t4,46,52.07578224,11869.83449,108.94877,2.092119702,227.9338684,0.228468821,4.376964849,
13770,1810029B16RIK,Unstimulated,96,56.36895669,15144.78308,123.0641421,2.183189992,268.6724035,0.209805533,4.766318542,
13772,1810029B16RIK,LPS_2h,96,87.29771916,37181.39883,192.8247879,2.208818166,425.9148943,0.204965171,4.878877689,
13771,1810029B16RIK,LPS_1h,96,90.42801019,23450.92328,153.1369429,1.693468015,259.3325147,0.348695227,2.867833918,
13796,1810029B16RIK,gpb_t4,53,105.6366599,24148.64936,155.398357,1.471064659,228.601031,0.46210054,2.16403123,
13783,1810029B16RIK,tr3_t2,52,110.8273797,47360.76912,217.6252952,1.963641978,427.3381652,0.25934351,3.855889819,
13787,1810029B16RIK,On_Chip_Stimulation_LPS_4h,90,114.0673413,28385.84227,168.4809849,1.477030874,248.8516164,0.458374926,2.181620203,
