gene,N,intercept,slope,min x,max x,R2
HSPA5,25,-29418.99571,533.8105307,123.882337,641.2346215,0.762265212
MYD88,27,-10856.61337,483.0337062,8.73554278,171.2123182,0.760488058
TAPBP,23,-11593.42537,285.6463942,24.40501219,274.5723972,0.760084392
MKIAA1673,27,-1308.98455,214.3971728,5.513974481,108.7249897,0.757166607
IFRD1,25,-13681.70073,583.6593358,13.57050626,244.109969,0.754489943
CASP1,26,-6568.85074,489.535356,34.67988036,200.8684303,0.754162084
IFI203,27,590.1005889,246.5340878,7.858284383,227.3443242,0.754064061
IRF1,26,-5905.845808,483.2836878,2.859583836,312.4415865,0.752488701
TNFRSF1B,27,-10060.32154,335.970197,36.78367614,288.3277288,0.750055944
A130040M12RIK,24,-2729.478229,298.2335504,39.70640877,349.7800197,0.749437633
PNP,27,-819.8059138,278.1006152,32.04943129,450.6589159,0.749350802
SP140,27,-9822.596085,361.8057187,27.97084275,476.1354335,0.749077285
BHLHE40,28,-18381.14827,499.4936024,35.46205608,285.2081199,0.747424617
CXCL16,28,-34717.24712,606.342723,65.36704515,686.4469125,0.746559068
MAP2K1,27,-2661.947366,265.8559928,8.370623148,115.703811,0.745652419
RASGEF1B,25,-5186.899288,393.06263,8.191693203,113.6999614,0.745525866
CDKN1A,27,-58618.22849,654.7276117,78.15019101,753.5442568,0.745359713
SGK1,25,5851.880659,523.6766509,67.50122169,422.1763294,0.744889166
OAS1A,24,-6119.925682,431.9977297,4.797337565,265.5731252,0.744395236
SQSTM1,26,-85271.76781,915.0498019,117.1580775,1170.392984,0.73999238
RNF19B,26,-5063.519528,312.7144347,15.38339102,127.4720585,0.739779081
SLC7A11,26,-35495.84623,450.8665099,53.84383358,399.1944563,0.733257603
CD83,24,-15026.70618,1034.798065,3.580232215,343.40274,0.731957678
SAMSN1,27,-14185.49058,800.5109556,26.56185184,556.5760669,0.729002521
MED21,25,-12803.03982,640.9944039,26.30097569,101.8726211,0.728516579
HK2,26,-1214.906196,286.9911311,10.70815459,203.9101922,0.728300492
PARP14,27,-374.8372267,250.4694115,3.832492421,280.6774234,0.72694446
GM6377,26,-2631.705048,341.5872526,1.694857543,102.6444439,0.717899835
CCL22,26,-275186.3126,9039.316979,15.42650766,4302.820926,0.710619226
BTG1,25,-14161.80733,945.4541347,382.5539639,3860.74923,0.709133497
PDPN,26,-25445.3218,964.097254,9.094252871,391.616534,0.707567581
SOD2,27,-13134.48949,307.6860076,31.74647154,444.6192375,0.704821773
MNDAL,27,2597.237894,432.9701194,19.23390305,485.272067,0.703591187
CXCL2,28,-253534.7408,2131.949316,35.0605993,2453.064254,0.703563734
PELI1,27,-214.4553899,153.1540965,3.663753474,120.2340486,0.700987853
NCK1,28,-3501.157932,386.138881,17.64549912,126.3006636,0.690326187
GADD45B,26,-1511.901952,256.9196621,8.320441544,293.907564,0.688464755
PSME2,27,-49806.55618,964.0011049,172.8167773,1525.938294,0.686157817
CD14,26,-509551.7911,2409.673927,58.24739385,2054.891896,0.684174654
LGALS3BP,28,-0.070873657,350.0147896,12.44831419,301.0709388,0.675684945
CLEC4D,25,-40285.03808,825.7974474,59.08861713,453.4154465,0.67543484
SNX10,27,-15195.24053,389.8089627,40.19046883,257.0834975,0.675155186
BTG2,24,-6778.337106,494.8039125,5.133185377,123.2589256,0.674594241
NFKB1,26,-6221.011178,344.5617357,15.90076256,264.2909023,0.673757235
PSMB9,25,-6603.387354,456.1076173,24.82346993,236.7448003,0.672147935
RNASET2A,27,-1879.15978,429.4960847,20.13686317,324.7914441,0.671162834
P2RY14,26,-23539.5911,712.8738878,34.66361059,233.6540698,0.670180354
RNF114,28,-2608.282866,488.2969318,13.09589227,216.1174845,0.668497709
TMEM219,28,-9632.516523,503.3405656,34.60751136,228.0386592,0.668023317
LY6C2,27,-15240.04244,1719.576085,0.783189852,130.8473294,0.666372446
IL12B,23,-32012.01577,4503.979462,1.46978326,1714.33592,0.665383174
F10,26,-12718.20424,706.4609298,44.38267599,292.8289276,0.663548257
CASP7,25,-15236.96819,724.0806097,16.68271986,120.2972008,0.663236727
MDM2,28,-3997.316705,439.182749,31.05696343,182.3345391,0.661477804
KLF6,27,-21975.07939,351.4239732,82.00303131,311.2830952,0.655061533
NUPR1,25,-44698.36091,1535.516274,23.78183363,552.8390059,0.655039617
CASP11,27,-707.9854223,502.1710878,9.020057137,396.985878,0.654934763
2810474O19RIK,27,-3341.571324,216.1932175,19.7829754,205.999925,0.652452531
HCK,28,-569.4648384,251.3389401,8.230226392,101.003026,0.651727426
RAB8B,28,-23443.96138,386.7209333,86.17604296,420.2185868,0.651649956
BCL2A1D,28,-257592.0249,1045.085213,305.4748463,2835.777099,0.642298895
STXBP3A,26,-8081.783337,369.6292439,19.49679165,175.3852815,0.641187212
PFKP,26,-5850.112434,314.6062273,29.42172358,207.1631753,0.638972419
TANK,27,-16542.48288,531.3879003,51.21099208,350.0136063,0.63651688
TGIF1,27,-6589.940063,475.8678584,31.96830806,212.7969425,0.634367806
PPP1R15A,25,-12761.95915,594.5536387,20.80138101,195.0238449,0.633692616
SEPW1,26,-23648.33889,428.522582,147.4769621,457.2893198,0.629841997
PLAUR,26,-14562.57548,706.1590942,60.32660606,641.3538788,0.628698078
H2-M2,26,92558.93126,2249.832274,54.82361076,1751.150627,0.625894527
BATF,25,-2169.299287,566.3153317,5.976636213,124.3237676,0.625292439
NUP62-IL4I1,26,5528.067938,691.2667217,0.214756711,248.5634034,0.624172633
TNFAIP2,26,-23763.82783,475.8093014,64.72994951,676.922913,0.62369002
FNDC3A,25,-4632.043372,306.3334398,24.12376065,104.9737596,0.621789211
TREX1,28,28228.05441,519.9389154,11.83578937,713.8862914,0.620133894
RAB9,27,-16271.39668,574.672352,26.21540909,141.4568297,0.619458495
BCL2A1A,28,-102585.0947,807.4107927,211.5560898,1896.055111,0.618971891
PDE4B,25,-3868.089245,271.2156786,6.258815319,136.0188038,0.61862359
PIK3R5,24,-1896.142459,194.0352921,22.15036045,103.6571582,0.61424835
RND3,27,-526.9786983,201.9417052,0.395136232,100.4963135,0.61413352
CD44,26,-20165.26204,377.3686838,109.0494739,483.7026749,0.614097537
AK172683,27,360.8307898,120.2092638,1.013089573,102.4393781,0.607144072
ARL5C,27,-2087.697039,330.9065574,12.91556676,154.0320911,0.606493016
IER3,25,-4118.266062,481.1969517,8.503452813,123.4970352,0.594793372
GTF2B,26,-456.8112992,367.8159779,51.96900076,222.0251541,0.5749474
ANXA7,27,-1739.949855,260.304449,27.39349392,152.4760738,0.573297161
TXNRD1,26,-4704.198008,209.0432334,20.44121231,221.4372012,0.566441731
HIF1A,27,-387.0579956,154.1764956,24.16872095,102.0738806,0.559942342
MARCKSL1,26,-2367.041038,454.4116043,2.768367722,274.6331924,0.55885791
PLK2,26,7154.856134,275.807542,12.48374409,370.0074101,0.555798414
CFLAR,27,4617.108965,188.825675,25.16888324,367.9996991,0.548537092
G530011O06RIK,26,424.8543213,433.8494922,2.49377209,160.9324126,0.548532477
B3GNT2,26,-17404.02481,655.6710571,11.83610278,115.456188,0.547369393
MTPN,27,-6812.17499,298.2243967,73.60843647,394.9920225,0.543230904
PSMB10,25,-24018.0424,550.337379,21.71563952,199.5318575,0.543165537
PTPRE,26,-4807.026315,312.5350459,11.81912388,103.8305497,0.541516666
MKIAA0694,26,-5902.754553,307.1146943,13.22111924,132.9133413,0.539794962
OLR1,28,-4502.653771,421.9131199,1.437464602,119.6587006,0.537230828
