,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
9964,1200009I06RIK,LPS_6h,96,11.36196277,765.9859276,27.67645078,2.435886417,67.41669052,0.168533381,5.933542637,
9963,1200009I06RIK,LPS_4h,95,11.38633215,550.3827069,23.46023672,2.060385768,48.33713784,0.235560744,4.245189512,
9967,1200009I06RIK,PAM_4h,85,20.86511556,1269.859878,35.63509335,1.707879031,60.86042872,0.342835501,2.916850786,
9974,1200009I06RIK,LPS_4h_Replicate,96,21.08527297,924.0089573,30.39751564,1.441646769,43.82248021,0.481151976,2.078345406,
9966,1200009I06RIK,PAM_2h,96,21.80418072,1573.886059,39.67223285,1.819478262,72.18276529,0.302069069,3.310501147,
6122,1600014C10RIK,LPS_2h,96,6.272193537,471.5171674,21.71444605,3.462017861,75.17580008,0.083433679,11.98556767,
6126,1600014C10RIK,PAM_2h,96,8.699155647,811.1917422,28.48142802,3.274045112,93.2494802,0.093289052,10.7193714,
6127,1600014C10RIK,PAM_4h,85,9.252716022,830.5083821,28.81854233,3.114603567,89.75833476,0.103084756,9.700755382,
6121,1600014C10RIK,LPS_1h,96,10.28475459,739.4461652,27.19275943,2.643987193,71.89730765,0.14304784,6.990668274,
6129,1600014C10RIK,PIC_1h,96,17.16429927,3525.494678,59.37587623,3.459265962,205.3969476,0.083566477,11.96652099,
6125,1600014C10RIK,PAM_1h,96,19.72277651,1494.296782,38.65613511,1.959974302,75.76503143,0.260315031,3.841499264,
6128,1600014C10RIK,PAM_6h,64,19.91686572,4914.560359,70.10392542,3.519827185,246.7537025,0.08071557,12.38918341,
6130,1600014C10RIK,PIC_2h,84,21.07406858,3673.988258,60.61343298,2.876209345,174.3369224,0.12088127,8.272580199,
6120,1600014C10RIK,Unstimulated,96,24.58959377,2553.261001,50.5298031,2.054926306,103.8350216,0.236814067,4.222722125,
6123,1600014C10RIK,LPS_4h,95,25.69053494,2550.96369,50.50706575,1.965979528,99.29585727,0.258727158,3.865075504,
6133,1600014C10RIK,Unstimulated_Replicate,96,32.75055552,8602.083397,92.7474172,2.831934168,262.6545798,0.124690594,8.019851134,
6131,1600014C10RIK,PIC_4h,90,40.75086697,7670.223818,87.57981399,2.149152165,188.2223469,0.216503872,4.618855029,
6890,1810029B16RIK,PAM_1h,96,38.37154043,7795.197509,88.29041573,2.300934879,203.150497,0.188882336,5.294301317,
6894,1810029B16RIK,PIC_1h,96,47.20740811,20936.23714,144.6935975,3.065061253,443.4947391,0.106444122,9.394600483,
6885,1810029B16RIK,Unstimulated,96,56.36895669,15144.78308,123.0641421,2.183189992,268.6724035,0.209805533,4.766318542,
6887,1810029B16RIK,LPS_2h,96,87.29771916,37181.39883,192.8247879,2.208818166,425.9148943,0.204965171,4.878877689,
6886,1810029B16RIK,LPS_1h,96,90.42801019,23450.92328,153.1369429,1.693468015,259.3325147,0.348695227,2.867833918,
6896,1810029B16RIK,PIC_4h,90,141.3072153,66074.99686,257.0505726,1.819090214,467.598181,0.302197958,3.309089206,
6891,1810029B16RIK,PAM_2h,96,176.6918074,82205.39974,286.7148405,1.622683274,465.247376,0.379780342,2.633101007,
6898,1810029B16RIK,Unstimulated_Replicate,96,189.2331182,100774.6929,317.4502998,1.677562062,532.5425795,0.355338945,2.814214471,
6888,1810029B16RIK,LPS_4h,95,214.6053249,222314.867,471.5027752,2.19706932,1035.924282,0.207163138,4.827113596,
6892,1810029B16RIK,PAM_4h,85,227.1804907,142862.0714,377.9709928,1.663747585,628.8483265,0.361264364,2.768056028,
6893,1810029B16RIK,PAM_6h,64,285.9869054,182099.1577,426.7307789,1.492133978,636.7394948,0.449142715,2.226463809,
6897,1810029B16RIK,PIC_6h,96,331.2336918,306083.701,553.2483176,1.670265832,924.0717613,0.358450183,2.789787948,
6899,1810029B16RIK,LPS_4h_Replicate,96,375.1240202,331409.0174,575.6813506,1.53464273,883.4651997,0.424605316,2.35512831,
2248,2010106G01RIK,Unstimulated_Replicate,96,20.70851768,1777.755355,42.16343623,2.036043182,85.84657688,0.241227064,4.14547184,
2244,2010106G01RIK,PIC_1h,96,25.97540324,2253.757004,47.47375068,1.827642491,86.76504397,0.299376362,3.340277076,
2236,2010106G01RIK,LPS_1h,96,30.27372524,1728.986362,41.58108178,1.373503969,57.11178087,0.530078467,1.886513153,
2240,2010106G01RIK,PAM_1h,96,31.65848413,1434.812252,37.87891566,1.196485451,45.32157149,0.69853015,1.431577435,
2241,2010106G01RIK,PAM_2h,96,38.04600807,3390.160466,58.22508451,1.530386168,89.10686397,0.426970565,2.342081824,
2235,2010106G01RIK,Unstimulated,96,45.31589196,4620.487458,67.97416758,1.500007274,101.9617458,0.444440134,2.250021823,
2237,2010106G01RIK,LPS_2h,96,48.03227301,5163.332455,71.85633204,1.496001075,107.49715,0.446823688,2.238019216,
2243,2010106G01RIK,PAM_6h,64,49.36986337,4329.184829,65.79654116,1.332726823,87.68881527,0.563012092,1.776160785,
2247,2010106G01RIK,PIC_6h,96,52.53106105,6972.146654,83.49938116,1.589523978,132.7242685,0.395790925,2.526586478,
2245,2010106G01RIK,PIC_2h,84,52.63944017,11129.9691,105.4986687,2.004175356,211.4378319,0.248959421,4.016718856,
2242,2010106G01RIK,PAM_4h,85,58.24468963,7499.811112,86.60144983,1.486855718,128.7638609,0.452337242,2.210739926,
2238,2010106G01RIK,LPS_4h,95,63.68162119,4373.166333,66.1299201,1.038445926,68.67234613,0.927325551,1.078369942,
2239,2010106G01RIK,LPS_6h,96,81.73046614,6338.473166,79.61452861,0.974110786,77.55337104,1.053860909,0.948891823,
8831,2310004I24RIK,PIC_4h,90,3.336209542,202.8841111,14.24373937,4.269437872,60.8127603,0.054860354,18.22809975,
8829,2310004I24RIK,PIC_1h,96,6.85854307,861.6115267,29.35322004,4.279803996,125.6260284,0.054594921,18.31672225,
8832,2310004I24RIK,PIC_6h,96,8.256421252,1838.929938,42.88274639,5.193866093,222.7272424,0.037069651,26.97624499,
8821,2310004I24RIK,LPS_1h,96,11.57285138,1440.636785,37.95572137,3.279720797,124.4841688,0.092966451,10.75656851,
8828,2310004I24RIK,PAM_6h,64,12.16395822,2985.318406,54.63806737,4.491799987,245.4232703,0.049563182,20.17626713,
8825,2310004I24RIK,PAM_1h,96,14.47280294,1246.565477,35.30673416,2.439522897,86.13158641,0.168031306,5.951271965,
8822,2310004I24RIK,LPS_2h,96,15.40344711,3149.930615,56.12424267,3.643615761,204.4951752,0.075324257,13.27593581,
8833,2310004I24RIK,Unstimulated_Replicate,96,16.12549595,6521.665078,80.75682682,5.008021277,404.431907,0.039871968,25.08027711,
8827,2310004I24RIK,PAM_4h,85,23.93858295,7693.915062,87.71496487,3.664166966,321.4022767,0.074481684,13.42611956,
8820,2310004I24RIK,Unstimulated,96,24.53484202,6291.873689,79.32133187,3.233007647,256.4464725,0.095672371,10.45233844,
8824,2310004I24RIK,LPS_6h,96,26.98329,5066.163852,71.17698962,2.637817317,187.7518958,0.143717803,6.958080198,
8834,2310004I24RIK,LPS_4h_Replicate,96,34.40112437,8328.216676,91.25906353,2.652793047,242.0914092,0.142099732,7.037310948,
8826,2310004I24RIK,PAM_2h,96,37.0109001,12428.48654,111.4831222,3.01216998,335.806114,0.110215087,9.073167987,
8823,2310004I24RIK,LPS_4h,95,42.97999674,12825.9864,113.2518715,2.634990231,298.4175751,0.144026359,6.943173516,
5213,2310016C08RIK,PAM_6h,64,0.252368551,2.640582298,1.624986861,6.43894359,10.46319873,0.024119637,41.45999456,
5216,2310016C08RIK,PIC_4h,90,5.823527286,737.9305504,27.16487715,4.664677576,126.7153933,0.045957536,21.75921689,
5217,2310016C08RIK,PIC_6h,96,9.666339456,8970.059375,94.71039739,9.797958971,927.9685878,0.010416667,96,
5211,2310016C08RIK,PAM_2h,96,9.770761777,1911.314462,43.71858257,4.474429279,195.6157059,0.049948759,20.02051737,
5212,2310016C08RIK,PAM_4h,85,28.3458342,18477.46352,135.9318341,4.795478347,651.8581671,0.043484665,22.99661257,
5218,2310016C08RIK,Unstimulated_Replicate,96,60.52339729,56584.64848,237.8752793,3.930302824,934.9218817,0.064736315,15.44728028,
5208,2310016C08RIK,LPS_4h,95,63.79391361,30388.45143,174.3228368,2.732593549,476.3534593,0.133921382,7.467067504,
5210,2310016C08RIK,PAM_1h,96,77.51788032,17829.03269,133.5254009,1.722510992,229.9989708,0.33703577,2.967044118,
5205,2310016C08RIK,Unstimulated,96,98.13338667,115520.9513,339.883732,3.463487234,1177.182967,0.083362901,11.99574382,
5219,2310016C08RIK,LPS_4h_Replicate,96,129.2782543,183374.5619,428.2225612,3.312409835,1418.448623,0.091140597,10.97205892,
5214,2310016C08RIK,PIC_1h,96,169.9600967,130451.8147,361.1811384,2.125093745,767.543778,0.22143375,4.516023425,
5209,2310016C08RIK,LPS_6h,96,269.8144987,230404.0858,480.0042561,1.779015799,853.9351553,0.315966027,3.164897214,
5207,2310016C08RIK,LPS_2h,96,444.7887326,291106.7115,539.543058,1.213032207,654.4831065,0.679603076,1.471447135,
5916,2810474O19RIK,PAM_2h,96,48.9365954,4815.468341,69.39357564,1.418030312,98.40219372,0.497312037,2.010809966,
5917,2810474O19RIK,PAM_4h,85,56.01301007,12162.98099,110.2859057,1.968933745,217.1456413,0.257951344,3.876700092,
5915,2810474O19RIK,PAM_1h,96,59.70403613,5780.188451,76.0275506,1.273407219,96.81403177,0.61668784,1.621565945,
5919,2810474O19RIK,PIC_1h,96,65.65234417,15463.24167,124.3512834,1.894087484,235.5322094,0.278740408,3.587567396,
5911,2810474O19RIK,LPS_1h,96,68.86419339,4048.811494,63.63027183,0.923996473,58.79414677,1.171276346,0.853769483,
5918,2810474O19RIK,PAM_6h,64,70.55860346,15299.26275,123.6901886,1.753013559,216.8305777,0.325408917,3.073056538,
5920,2810474O19RIK,PIC_2h,84,75.96035151,13611.74799,116.6693961,1.535924911,179.1954318,0.423896696,2.359065331,
5914,2810474O19RIK,LPS_6h,96,83.302168,7734.327394,87.94502484,1.055735126,92.84665189,0.897201636,1.114576657,
5910,2810474O19RIK,Unstimulated,96,103.4550402,14607.67257,120.8622049,1.168258257,141.1982688,0.732693404,1.364827355,
5922,2810474O19RIK,PIC_6h,96,124.5956254,39474.83837,198.6827581,1.594620658,316.8236304,0.393264938,2.542815042,
5921,2810474O19RIK,PIC_4h,90,133.1819742,24562.81698,156.7252914,1.176775554,184.4304917,0.722125571,1.384800704,
5913,2810474O19RIK,LPS_4h,95,137.1790255,54489.55255,233.4299735,1.701644787,397.2148976,0.345352166,2.895594981,
11563,3110001I22RIK,Unstimulated_Replicate,96,0.321564186,7.628310052,2.761939545,8.589076964,23.72251132,0.013555234,73.77224309,
11555,3110001I22RIK,PAM_1h,96,0.42960777,10.6314186,3.260585622,7.589680278,24.74680239,0.017360133,57.60324673,
11551,3110001I22RIK,LPS_1h,96,0.743887388,17.87479701,4.227859625,5.683467272,24.02890181,0.030958027,32.30180023,
11556,3110001I22RIK,PAM_2h,96,0.836520038,24.17059743,4.916360181,5.877157701,28.8942241,0.028951116,34.54098264,
11558,3110001I22RIK,PAM_6h,64,1.855888652,128.2504771,11.32477272,6.102075522,69.10461839,0.026856217,37.23532568,
11560,3110001I22RIK,PIC_2h,84,2.213890579,408.7953194,20.21868738,9.132649815,184.6501916,0.011989647,83.40529263,
11550,3110001I22RIK,Unstimulated,96,2.520257557,220.9622603,14.86479937,5.898127089,87.67447585,0.028745624,34.78790316,
11557,3110001I22RIK,PAM_4h,85,6.394427394,1809.800146,42.54174592,6.652940646,283.0277106,0.022592938,44.26161924,
11553,3110001I22RIK,LPS_4h,95,7.48762132,915.441481,30.2562635,4.040837832,122.2606542,0.061243099,16.32837038,
11552,3110001I22RIK,LPS_2h,96,8.525858807,1303.933301,36.11001663,4.235352408,152.9386459,0.055746922,17.93821002,
11564,3110001I22RIK,LPS_4h_Replicate,96,8.935031992,1753.691118,41.87709539,4.686843363,196.2713866,0.045523864,21.96650071,
11561,3110001I22RIK,PIC_4h,90,9.156879896,1843.803641,42.93953471,4.689319419,201.3571939,0.045475802,21.98971661,
3553,3110043O21RIK,Unstimulated_Replicate,96,14.27512342,1715.795278,41.42215926,2.901702355,120.1947771,0.118766587,8.419876559,
3549,3110043O21RIK,PIC_1h,96,16.41530282,3092.56108,55.61080003,3.387741344,188.3950064,0.087132367,11.47679142,
3545,3110043O21RIK,PAM_1h,96,19.9632631,6101.034581,78.10911971,3.912642904,305.613093,0.065322015,15.3087745,
3546,3110043O21RIK,PAM_2h,96,22.17351224,8729.869411,93.43377019,4.213755998,393.7071095,0.056319817,17.75573961,
3541,3110043O21RIK,LPS_1h,96,23.48049157,3144.28334,56.07390962,2.38810629,133.9104563,0.175344721,5.703051654,
3552,3110043O21RIK,PIC_6h,96,25.15795813,11830.91109,108.7699917,4.323482497,470.2651552,0.053497389,18.69250091,
3548,3110043O21RIK,PAM_6h,64,25.17604274,5925.616356,76.97802515,3.057590343,235.3672663,0.106964928,9.348858707,
3543,3110043O21RIK,LPS_4h,95,25.35061841,3643.722865,60.36325758,2.381135505,143.7330958,0.176372868,5.669806295,
3542,3110043O21RIK,LPS_2h,96,36.93041136,6869.376639,82.88170268,2.244266978,186.0086684,0.198541346,5.036734267,
3544,3110043O21RIK,LPS_6h,96,39.02349143,9169.938654,95.75979665,2.453901308,234.9850902,0.166067947,6.021631627,
3547,3110043O21RIK,PAM_4h,85,42.73237846,9653.405237,98.25174419,2.299234157,225.9037663,0.189161868,5.28647771,
3551,3110043O21RIK,PIC_4h,90,43.49313443,12768.63198,112.9983716,2.598073767,293.5781049,0.148148427,6.749987298,
3554,3110043O21RIK,LPS_4h_Replicate,96,48.1794968,11161.93876,105.6500769,2.192843096,231.6740419,0.20796243,4.808560845,
3550,3110043O21RIK,PIC_2h,84,48.7320745,11150.71031,105.5969238,2.166887514,228.8166556,0.212974333,4.695401499,
3540,3110043O21RIK,Unstimulated,96,59.56241341,18422.32957,135.7288826,2.278767344,309.2945453,0.192575053,5.192780607,
11948,4930453N24RIK,PAM_6h,64,6.342104172,704.2190294,26.53712549,4.184277769,111.0387042,0.057116158,17.50818045,
11946,4930453N24RIK,PAM_2h,96,9.707792056,1066.057007,32.65052844,3.363332079,109.8145697,0.088401676,11.31200267,
11949,4930453N24RIK,PIC_1h,96,12.59299955,3717.653772,60.97256573,4.841782572,295.2159061,0.042656914,23.44285847,
11953,4930453N24RIK,Unstimulated_Replicate,96,13.28130017,2193.395473,46.83370019,3.526288811,165.149153,0.080420032,12.43471278,
11942,4930453N24RIK,LPS_2h,96,17.09965838,2849.026052,53.37626863,3.121481577,166.6130392,0.102630973,9.743647238,
11947,4930453N24RIK,PAM_4h,85,18.83523264,7699.601633,87.74737394,4.658682779,408.7871799,0.046075889,21.70332524,
11950,4930453N24RIK,PIC_2h,84,20.2666056,19171.27845,138.4603858,6.83194752,945.9540896,0.021424513,46.67550691,
11952,4930453N24RIK,PIC_6h,96,23.69704343,8776.006669,93.68034302,3.953250257,370.3418401,0.063986946,15.62818759,
11945,4930453N24RIK,PAM_1h,96,23.85241435,5034.218669,70.95222808,2.974635064,211.0569855,0.113014096,8.848453762,
11954,4930453N24RIK,LPS_4h_Replicate,96,24.10358451,4325.939106,65.77187169,2.728717451,179.4728541,0.134302118,7.445898928,
11951,4930453N24RIK,PIC_4h,90,34.0165311,24213.55162,155.6070423,4.574453575,711.8171911,0.047788297,20.92562551,
11941,4930453N24RIK,LPS_1h,96,36.314265,8889.616753,94.28476416,2.596356119,244.7968244,0.14834451,6.741065098,
11944,4930453N24RIK,LPS_6h,96,40.03783527,10663.34589,103.263478,2.579147381,266.3317289,0.1503307,6.652001215,
189,4930523C07RIK,PIC_1h,96,3.529057363,143.2908327,11.97041489,3.391958153,40.6031464,0.086915859,11.50538011,
181,4930523C07RIK,LPS_1h,96,6.572492679,372.0798777,19.28937214,2.934863999,56.61168386,0.116097813,8.61342669,
187,4930523C07RIK,PAM_4h,85,8.277266858,666.3831687,25.81439848,3.118710429,80.50763376,0.102813441,9.726354742,
185,4930523C07RIK,PAM_1h,96,9.089686666,809.5087663,28.45186754,3.130126327,89.05793962,0.102064866,9.797690821,
188,4930523C07RIK,PAM_6h,64,9.620988053,1051.155058,32.42152153,3.369874419,109.256456,0.08805876,11.3560536,
